Date,Region,Revenue,Cost,Customers,Churn_Rate,Satisfaction_Score,Delivery_Days
2025-02,North,450927.71,290920.17,1312,3.61,4.26,3.31
2025-02,South,378189.28,242816.21,1059,4.93,4.11,3.01
2025-02,West,404839.25,245394.46,1108,5.15,3.9,3.03
2025-03,North,430022.06,256992.81,1418,4.32,4.21,2.63
2025-03,South,355454.13,223573.83,1101,4.02,4.39,3.32
2025-03,West,393098.14,238696.98,1217,3.65,4.36,2.71
2025-04,North,457932.85,284409.42,1253,4.67,4.38,2.8
2025-04,South,341445.73,199839.77,1091,5.35,4.27,2.49
2025-04,West,418676.13,234329.51,1216,4.97,4.38,3.56
2025-05,North,477157.4,267029.59,1333,4.25,4.27,3.59
2025-05,South,367186.73,216797.22,1120,5.44,4.02,3.53
2025-05,West,424198.13,259349.62,1272,3.98,4.27,3.82
2025-06,North,465564.54,287698.06,1486,4.18,4.19,2.63
2025-06,South,401490.74,247364.14,1134,4.79,4.5,2.99
2025-06,West,406859.94,272946.34,1246,4.9,4.43,3.3
2025-07,North,480438.23,275893.63,1424,5.27,4.06,3.07
2025-07,South,379412.71,249024.46,1093,2.38,4.27,3.04
2025-07,West,423783.56,251680.81,1281,4.82,4.58,3.27
2025-08,North,485776.06,327956.23,1434,4.49,3.87,2.77
2025-08,South,372925.46,206897.29,1180,6.47,4.16,3.32
2025-08,West,435243.28,295153.51,1246,5.11,3.97,2.89
2025-09,North,504995.05,325554.21,1540,3.38,4.32,4.08
2025-09,South,378098.23,209958.24,1166,5.87,4.37,3.2
2025-09,West,433921.58,251433.45,1269,4.88,4.02,3.82
2025-10,North,473500.64,317344.94,1459,4.21,4.31,3.62
2025-10,South,413813.19,411943.49,1131,4.65,4.25,3.51
2025-10,West,420292.3,270825.53,1273,4.99,4.44,3.29
2025-11,North,520559.61,286930.18,1515,3.93,4.57,3.39
2025-11,South,384261.67,246920.13,1257,3.9,3.97,3.51
2025-11,West,482792.44,318835.67,1406,6.02,4.15,2.9
2025-12,North,483495.28,327080.39,1468,5.2,4.15,3.68
2025-12,South,425135.77,261604.25,1228,6.68,4.33,2.86
2025-12,West,435369.47,292681.31,1406,4.4,2.9,3.02
2026-01,North,532515.79,319542.86,1510,5.19,4.24,2.7
2026-01,South,423031.6,264017.39,1277,4.68,4.04,3.62
2026-01,West,467196.71,301949.2,1458,5.34,3.92,2.82
2026-02,North,532570.32,352944.68,1589,4.52,4.37,3.77
2026-02,South,424955.19,269632.07,1323,5.02,4.14,3.5
2026-02,West,453761.32,283680.88,1402,4.47,4.09,2.48
2026-03,North,535193.54,335463.76,1547,5.37,4.21,2.77
2026-03,South,414813.82,261737.46,1325,6.41,4.57,3.75
2026-03,West,497807.51,336946.37,1317,4.65,4.07,3.54
